timestamp,USD,ETH,wBTC,wETH,DAI
1627804800,13417079948,4415754.179420586[object Object],49406.4421,1765117.002,524126730.7
1627776000,13370047513,4509603.942314918[object Object],50027.97816,1794441.053,527850223
1627689600,13084425643,4531366.611432632[object Object],50725.84989,1772308.417,492480538.9
1627603200,12667736106,4534852.005656118[object Object],50467.92105,1767507.66,493473402.9
1627516800,12382663820,4595136.1232867185[object Object],50673.0383,1777988.777,472791693.9
1627430400,12464042920,4628383.885759488[object Object],50461.70213,1773380.372,516816978.7
1627344000,12189785037,4659462.3274205895[object Object],48233.49447,1800105.519,524913426.7
1627257600,11899191501,4615687.243429799[object Object],48365.72492,1753647.979,520672176.9
1627171200,11789324208,4588980.494642213[object Object],48361.15866,1771067.795,522370832.5
1627084800,11694443823,4686586.222712548[object Object],48370.65526,1778632.631,546883083.1
1626998400,11382219809,4769456.728570167[object Object],48319.11827,1774670.911,546568275.9
1626912000,11201503221,4766500.823760241[object Object],48537.37558,1775167.702,557088412.4
1626825600,10337655168,4905201.886077994[object Object],49131.89917,1760905.529,586423084.5
1626739200,10549621000,4898555.06389628[object Object],49772.49294,1742522.946,597685154.2
1626652800,10898513435,4856126.655806913[object Object],49989.97789,1749495.14,573537346.9
1626566400,10888942585,4833039.609903653[object Object],50132.03121,1746957.362,599584052.5
1626480000,10782492221,4836887.1956798835[object Object],50899.55484,1756723.114,595757543.5
1626393600,10187206219,4388114.165254391[object Object],49757.99003,1359457.382,578506376.6
1626307200,10316292313,4266862.566025302[object Object],50037.35151,1379278.412,586465804.5
1626220800,9970197150,4204022.910962935[object Object],48384.58048,1313679.304,573790809.6
1626134400,10495565536,4238257.76455227[object Object],48297.08917,1315054.43,605398735.2
1626048000,10724119380,4108899.767102806[object Object],45973.2673,1322941.938,601440532.6
1625961600,10566397014,4094076.51145254[object Object],46058.85573,1314981.894,605011788.4
1625875200,10629144178,4046977.4693782683[object Object],47347.43661,1250366.289,614544113
1625788800,10417135080,4019592.2050972474[object Object],48693.87819,1238134.125,617625396.9
1625702400,10986661604,3874328.573768372[object Object],47959.9374,1250490.34,606670311.4
1625616000,11031938105,3858826.8717398304[object Object],48668.92312,1250991.205,637246472.1
1625529600,10749677944,3961304.9433195074[object Object],49102.75862,1245071.447,639024928.9
1625443200,10904138502,3774085.6811295208[object Object],49543.07522,1233883.612,724138029.5
1625356800,10614832555,3816978.72568403[object Object],50282.21724,1221117.473,723783730.7
1625270400,10287672877,3813601.081068568[object Object],49944.66644,1218801.204,733064485.3
1625184000,10156093679,3851452.502849791[object Object],49620.28675,1225272.875,740674669.4
1625097600,10673804555,3772783.1257922603[object Object],49469.57313,1251085.231,736468085.6
1625011200,10562029220,3926687.786481937[object Object],49632.04133,1250839.62,740105036.2
1624924800,10295007816,3930066.0771881393[object Object],49944.54511,1242328.243,725334022.5
1624838400,10000520957,3993595.5048869792[object Object],50441.04045,1227571.029,724976144.1
1624752000,9451712771,4055629.5736269015[object Object],50403.77686,1224155.372,718686498.2
1624665600,9459989814,4072806.855273881[object Object],48899.91523,1216189.97,721320848.6
1624579200,10099538559,3946126.748681898[object Object],50939.27088,1149174.338,731664181
1624492800,9912147123,3900323.227228952[object Object],49535.31849,1136396.737,739474174.1
1624406400,9744143810,3993599.2883225274[object Object],52437.07261,1129295.995,698524391.2
1624320000,9895822006,3927405.1860488425[object Object],53869.4371,1089675.762,671871225
1624233600,8493351061,3771872.251483284[object Object],40420.90258,1112024.777,450396709.1
1624147200,10972001677,3762297.2508464935[object Object],57176.63747,1101138.017,665293789.7
1624060800,11115980080,3708384.84711627[object Object],55728.75206,1115589.239,672868331.9
1623974400,11682657987,3649059.551299866[object Object],56339.91896,1090659.41,602015044.2
1623888000,11815150126,3570572.648616237[object Object],60609.60187,1038765.46,657917266.5
1623801600,12997467786,3601302.464306055[object Object],62203.24151,1117409.569,668007396.3
