timestamp,USD,ETH,wBTC,wETH,DAI
1627804800,9072780081,3506469.747,33256.21325,1390289.097,1187913573
1627776000,8977020479,3550741.623,33252.94363,1388128.716,1179425767
1627689600,8904904782,3616572.152,33347.9012,1379743.066,1243579876
1627603200,8676745337,3640704.471,33398.62602,1375473.948,1240933758
1627516800,8118616201,3530324.306,31693.91851,1369366.429,920191199.1
1627430400,8470086985,3681430.043,32442.61418,1372713.055,1249405601
1627344000,8298937811,3716447.075,32637.11495,1382992.253,1229553321
1627257600,8193446556,3730601.998,33257.60556,1317217.878,1230551898
1627171200,8050986303,3675796.273,33436.14493,1283136.943,1211502706
1627084800,7913185036,3714935.935,33279.76903,1287122.747,1143584011
1626998400,7647389680,3753172.725,32085.25132,1245096.46,1231509910
1626912000,7650814592,3819658.71,33337.02304,1291928.941,1172407332
1626825600,7254859354,4039926.358,33228.91402,1282583.034,1169603607
1626739200,7269382005,3971667.097,33136.98604,1286122.511,1160164481
1626652800,7389598616,3870541.233,33195.72127,1272748.894,1138955251
1626566400,7303981910,3822453.258,31919.67423,1276193.223,1127818696
1626480000,7201097069,3808713.787,33092.54225,1263815.879,1125021350
1626393600,7161362332,3711492.727,30412.93763,1253277.592,1111439935
1626307200,7209271391,3599200.902,30591.65593,1253451.42,1001965421
1626220800,7040656916,3602962.401,31118.75074,1244826.778,959931040.4
1626134400,7175744431,3509144.557,31012.91694,1248514.275,960659345.8
1626048000,7179785351,3344303.731,28982.11603,1146261.102,1057335511
1625961600,7112769564,3352233.747,28922.77745,1143894.072,1052516571
1625875200,7080271242,3291235.906,28387.4331,1145434.087,1009642837
1625788800,6725360821,3171801.402,28066.41195,1146280.812,1013740967
1625702400,7010884932,3021802.91,28256.55222,1160537.318,1008612096
1625616000,7032221270,3019092.528,29879.28188,1115471.199,1004241584
1625529600,6833378991,3101035.13,30184.99555,1097840.691,990383678.8
1625443200,6797240948,2921471.192,29770.2464,1113905.614,866266289.2
1625356800,6550728220,2936848.292,29509.62735,1105202.685,848572654.2
1625270400,6421960801,2973267.652,29893.48718,1085531.916,851918345.7
1625184000,6271949721,2966597.005,29773.81817,1082411.69,829061693.4
1625097600,6547991264,2872089.752,29874.26079,1092115.487,839521434
1625011200,6147705313,2842948.388,30024.13582,1075190.803,674057417.7
1624924800,6591620737,3159039.743,30200.58172,1074271.029,860000947.4
1624838400,6420727286,3238179.606,30288.38753,1075678.631,832281083.7
1624752000,6187590495,3378870.556,31054.64456,1073419.521,855864310.4
