date,loan,deposit
2020-08-16 0:00,903493756.3,1663987930
2020-08-17 0:00,909868548.1,1653916930
2020-08-18 0:00,908862673.3,1636568693
2020-08-19 0:00,907367235.2,1629290519
2020-08-20 0:00,922141070.9,1708847186
2020-08-21 0:00,937107397.6,1732718239
2020-08-22 0:00,944334163.5,1742867540
2020-08-23 0:00,939811728.5,1726570668
2020-08-24 0:00,938289290.6,1760012280
2020-08-25 0:00,945425948.1,1737292365
2020-08-26 0:00,923104257.9,1739151917
2020-08-27 0:00,948711636.3,1701709916
2020-08-28 0:00,962859591.7,1745972317
2020-08-29 0:00,921536923.7,1693814717
2020-08-30 0:00,852747500.5,1628773203
2020-08-31 0:00,875939752.7,1635580368
2020-09-01 0:00,885028846.3,1655269930
2020-09-02 0:00,845326103.9,1579684447
2020-09-03 0:00,736819729.7,1427290311
2020-09-04 0:00,712892425.3,1363876557
2020-09-05 0:00,682541368.8,1331644229
2020-09-06 0:00,661582977.5,1259593025
2020-09-07 0:00,674480539.4,1277211675
2020-09-08 0:00,635698697.9,1239028975
2020-09-09 0:00,646076525.7,1260555573
2020-09-10 0:00,691259936.3,1304138482
2020-09-11 0:00,697447496.4,1318897287
2020-09-12 0:00,685907591.4,1342772434
2020-09-13 0:00,679465026.4,1349933185
2020-09-14 0:00,719817548.5,1413141920
2020-09-15 0:00,760985451.8,1448206650
2020-09-16 0:00,716912923.7,1395847906
2020-09-17 0:00,720679096.5,1379987967
2020-09-18 0:00,763286327.5,1471614098
2020-09-19 0:00,796305035,1520237317
2020-09-20 0:00,870212881.8,1590086226
2020-09-21 0:00,909293000.7,1618794444
2020-09-22 0:00,938599494.2,1663026246
2020-09-23 0:00,966096428.1,1697835543
2020-09-24 0:00,1025794814,1761014572
2020-09-25 0:00,1045653634,1853685995
2020-09-26 0:00,1028493827,1848291043
2020-09-27 0:00,1051753209,1912633906
2020-09-28 0:00,1053886855,1876191188
2020-09-29 0:00,1066222791,1884251858
2020-09-30 0:00,1045451959,1875164079
2020-10-01 0:00,1015543396,1804324296
2020-10-02 0:00,988747220.1,1761896902
2020-10-03 0:00,1009481547,1776750165
2020-10-04 0:00,1005149941,1797250192
2020-10-05 0:00,1017549529,1797633267
2020-10-06 0:00,1065320646,1841829183
2020-10-07 0:00,1058380541,1853401636
2020-10-08 0:00,1069121783,1901835506
2020-10-09 0:00,1091409424,1920267904
2020-10-10 0:00,1097423112,1932831169
2020-10-11 0:00,1107534865,1964535692
2020-10-12 0:00,1135677890,1993799048
2020-10-13 0:00,1124497176,1997396025
2020-10-14 0:00,1115797043,2008671399
2020-10-15 0:00,1126253594,2025189327
2020-10-16 0:00,1135276922,2003221572
2020-10-17 0:00,1107186668,1983825270
2020-10-18 0:00,1140702657,2027564630
2020-10-19 0:00,1143219395,2062635939
2020-10-20 0:00,1152668519,2090385208
2020-10-21 0:00,1193460796,2168178691
2020-10-22 0:00,1275476986,2292880054
2020-10-23 0:00,1341849822,2430700220
2020-10-24 0:00,1380095180,2507456649
2020-10-25 0:00,1381922184,2504348670
2020-10-26 0:00,1385729435,2496527961
2020-10-27 0:00,1388750633,2494448139
2020-10-28 0:00,1385790332,2505387240
2020-10-29 0:00,1339029989,2428671690
2020-10-30 0:00,1315575769,2389383778
2020-10-31 0:00,1322475527,2426328300
2020-11-01 0:00,1326545218,2420687484
2020-11-02 0:00,1316199465,2443880349
2020-11-03 0:00,1350041041,2482436632
2020-11-04 0:00,1328842774,2474276818
2020-11-05 0:00,1360137828,2596686164
2020-11-06 0:00,1397031545,2706545337
2020-11-07 0:00,1402804035,2745399279
2020-11-08 0:00,1421497724,2747175525
2020-11-09 0:00,1479030445,2845667146
2020-11-10 0:00,1497401264,2892264848
2020-11-11 0:00,1574056635,3032943038
2020-11-12 0:00,1571826527,3003149069
2020-11-13 0:00,1626677885,3101066551
2020-11-14 0:00,1592159911,3067211116
2020-11-15 0:00,1607665933,3076627903
2020-11-16 0:00,1623611113,3117480781
2020-11-17 0:00,1613395097,3141689854
2020-11-18 0:00,1682557716,3272475216
2020-11-19 0:00,1674092806,3249685104
2020-11-20 0:00,1700700239,3305124381
2020-11-21 0:00,1730261778,3360466594
2020-11-22 0:00,1757185832,3388220971
2020-11-23 0:00,1777819161,3459170738
2020-11-24 0:00,1802884415,3553512304
2020-11-25 0:00,1784450603,3512230265
2020-11-26 0:00,1514652553,3102989777
2020-11-27 0:00,1583860556,3087932210
2020-11-28 0:00,1602359175,3122608247
2020-11-29 0:00,1607286912,3156611509
2020-11-30 0:00,1674204471,3323405904
2020-12-01 0:00,1638152202,3327988542
2020-12-02 0:00,1678336786,3310056972
2020-12-03 0:00,1692626060,3318187065
2020-12-04 0:00,1635774005,3232295157
2020-12-05 0:00,1692123270,3314612872
2020-12-06 0:00,1682693109,3337875535
2020-12-07 0:00,1717665093,3395196779
2020-12-08 0:00,1761691408,3409572555
2020-12-09 0:00,1706552990,3311691939
2020-12-10 0:00,1720756182,3342099266
2020-12-11 0:00,1736564782,3334928978
2020-12-12 0:00,1778667805,3435798458
2020-12-13 0:00,1804383424,3485606099
2020-12-14 0:00,1794621341,3496957383
2020-12-15 0:00,1856219930,3574804158
2020-12-16 0:00,1851310790,3587662483
2020-12-17 0:00,1842809002,3645596780
2020-12-18 0:00,1890613474,3745370060
2020-12-19 0:00,1872511962,3823550595
2020-12-20 0:00,1854110037,3764710829
2020-12-21 0:00,1849146169,3742047925
2020-12-22 0:00,1874840844,3756041928
