date,,loan,deposit
2020-08-16 0:00,MakerDAO,422669000.5,1259731072
2020-08-17 0:00,MakerDAO,429438779.4,1275881341
2020-08-18 0:00,MakerDAO,428695275.8,1272867392
2020-08-19 0:00,MakerDAO,420114198.4,1221971694
2020-08-20 0:00,MakerDAO,430685455.4,1231323318
2020-08-21 0:00,MakerDAO,432459129.3,1227518135
2020-08-22 0:00,MakerDAO,440372360.2,1193586408
2020-08-23 0:00,MakerDAO,438889133.8,1192313108
2020-08-24 0:00,MakerDAO,442050113.7,1226760125
2020-08-25 0:00,MakerDAO,443508273.1,1205940984
2020-08-26 0:00,MakerDAO,447336494.9,1184163406
2020-08-27 0:00,MakerDAO,444722828.5,1180374572
2020-08-28 0:00,MakerDAO,444925382.3,1200646633
2020-08-29 0:00,MakerDAO,439202185.9,1204447348
2020-08-30 0:00,MakerDAO,443934174.4,1229753500
2020-08-31 0:00,MakerDAO,445137890.2,1272172063
2020-09-01 0:00,MakerDAO,464344585.2,1385154062
2020-09-02 0:00,MakerDAO,488618337.8,1405776790
2020-09-03 0:00,MakerDAO,506699629.7,1377347297
2020-09-04 0:00,MakerDAO,459202432.3,1255563398
2020-09-05 0:00,MakerDAO,436420464.4,1196651267
2020-09-06 0:00,MakerDAO,423788539.6,1107876002
2020-09-07 0:00,MakerDAO,428803218,1116135912
2020-09-08 0:00,MakerDAO,430655249.9,1105274459
2020-09-09 0:00,MakerDAO,431318906.6,1110331809
2020-09-10 0:00,MakerDAO,452727764.8,1199353385
2020-09-11 0:00,MakerDAO,455289270.8,1207632894
2020-09-12 0:00,MakerDAO,466453298.6,1241242467
2020-09-13 0:00,MakerDAO,465116253.4,1238532490
2020-09-14 0:00,MakerDAO,532497058.1,1304242015
2020-09-15 0:00,MakerDAO,610702954.8,1374636851
2020-09-16 0:00,MakerDAO,571720676.8,1325154267
2020-09-17 0:00,MakerDAO,630406665.9,1424981452
2020-09-18 0:00,MakerDAO,698618652.2,1506990742
2020-09-19 0:00,MakerDAO,783385646.2,1585890741
2020-09-20 0:00,MakerDAO,802008659.2,1589585525
2020-09-21 0:00,MakerDAO,825297199.2,1579039238
2020-09-22 0:00,MakerDAO,840055621.3,1515699476
2020-09-23 0:00,MakerDAO,881029342.8,1544398669
2020-09-24 0:00,MakerDAO,896248127.8,1575004591
2020-09-25 0:00,MakerDAO,899583658.1,1526743310
2020-09-26 0:00,MakerDAO,924259468.8,1570154477
2020-09-27 0:00,MakerDAO,922604690.2,1571373034
2020-09-28 0:00,MakerDAO,910313719.6,1624078394
2020-09-29 0:00,MakerDAO,907209449.9,1603748941
2020-09-30 0:00,MakerDAO,898873123.2,1591097968
2020-10-01 0:00,MakerDAO,874619102.7,1546656709
2020-10-02 0:00,MakerDAO,867857000.9,1532804096
2020-10-03 0:00,MakerDAO,862366856.5,1477628467
2020-10-04 0:00,MakerDAO,858470685.3,1536745509
2020-10-05 0:00,MakerDAO,857947410.3,1556578165
2020-10-06 0:00,MakerDAO,866159570.7,1539279485
2020-10-07 0:00,MakerDAO,863244794.4,1499204037
2020-10-08 0:00,MakerDAO,869235081.2,1445997419
2020-10-09 0:00,MakerDAO,888871515.8,1508972883
2020-10-10 0:00,MakerDAO,896172564.5,1647151687
2020-10-11 0:00,MakerDAO,909805699.9,1623205578
2020-10-12 0:00,MakerDAO,915512799.6,1617392926
2020-10-13 0:00,MakerDAO,930731154.3,1657297962
2020-10-14 0:00,MakerDAO,914765566.7,1667986166
2020-10-15 0:00,MakerDAO,909642836.8,1637172754
2020-10-16 0:00,MakerDAO,907389904.5,1586423398
2020-10-17 0:00,MakerDAO,906607504.2,1553338136
2020-10-18 0:00,MakerDAO,907352333.7,1625008741
2020-10-19 0:00,MakerDAO,907236587.1,1594584764
2020-10-20 0:00,MakerDAO,907612913.1,1592985976
2020-10-21 0:00,MakerDAO,931395787.8,1702191857
2020-10-22 0:00,MakerDAO,923945429.2,1730387222
2020-10-23 0:00,MakerDAO,936170754.1,1768013953
2020-10-24 0:00,MakerDAO,938372253.6,1703712274
2020-10-25 0:00,MakerDAO,933088982.4,1702616068
2020-10-26 0:00,MakerDAO,931505289.5,1705068985
2020-10-27 0:00,MakerDAO,943259429.5,1771188318
2020-10-28 0:00,MakerDAO,933710449,1662924109
2020-10-29 0:00,MakerDAO,926137466.9,1662015595
2020-10-30 0:00,MakerDAO,924234284.5,1606456376
2020-10-31 0:00,MakerDAO,932151857.5,1624696850
2020-11-01 0:00,MakerDAO,933754847,1639205876
2020-11-02 0:00,MakerDAO,941656627.4,1642789671
2020-11-03 0:00,MakerDAO,954486626.2,1623167074
2020-11-04 0:00,MakerDAO,942248804.1,1637459751
2020-11-05 0:00,MakerDAO,943887155.3,1686865951
2020-11-06 0:00,MakerDAO,954416240,1866857819
2020-11-07 0:00,MakerDAO,952976387,1775602775
2020-11-08 0:00,MakerDAO,953181872.6,1752492911
2020-11-09 0:00,MakerDAO,951213755.3,1788799107
2020-11-10 0:00,MakerDAO,957157875.4,1765905050
