timestamp,tvlUSD,tvlETH,wBTC,wETH,DAI
1627804800,7752641869,,15399.37646,2385893.349,63473639.2
1627776000,7614485610,3011808.991,15397.6846,2386899.966,63463816.52
1627689600,7411533055,3010065.207,15418.7946,2387970.754,62955533.99
1627603200,7144157109,2997640.672,15360.6983,2390801.27,63066388.93
1627516800,6983811038,3036862.102,15790.50487,2392254.984,63559110.14
1627430400,6923658223,3009291.809,15476.61829,2389785.526,63137558.62
1627344000,6742448240,3019416.775,15474.2449,2391320.519,63058727.48
1627257600,6647980475,3026927.566,15473.08121,2405091.298,62549123.15
1627171200,6617767858,3021439.301,15468.52161,2413114.963,62557865.63
1627084800,6458327143,3031936.126,15529.01148,2412296.298,62021770.43
1626998400,6283495549,3083803.114,16821.42967,2436155.624,61437559.72
1626912000,6222413729,3106531.535,16870.14045,2437272.427,61445969.79
1626825600,5629165641,3134645.833,16955.30477,2432070.047,61362932.54
1626739200,5740210559,3136195.813,16251.31954,2457011.457,61397944.39
1626652800,6000813339,3143120.035,16232.63049,2476263.177,61182442.76
1626566400,5991585531,3135626.007,16232.15411,2477150.128,60837680.66
1626480000,5934251725,3138669.864,16104.12105,2479388.912,60837680.66
1626393600,6020828687,3120392.58,16138.64485,2460866.4,61637517.85
1626307200,6258057705,3124311.143,16138.51478,2462189.967,62190917.31
1626220800,6102456234,3122850.698,15973.61905,2452723.675,62064538.76
1626134400,6354125310,3107349.274,15981.69013,2451279.157,61618251.06
1626048000,6630238045,3088327.679,15981.87024,2444222.316,62206376.16
1625961600,6561969250,3092642.685,16122.85379,2448941.615,62280367.92
1625875200,6698905892,3113959.741,16477.99906,2456599.103,62228434.46
1625788800,6601114067,3113204.393,17047.61221,2457055.092,62786988.93
1625702400,7139405869,3077197.478,17063.9969,2455784.775,63079019.8
1625616000,7142355705,3066375.745,17061.50216,2458068.312,63941422.02
1625529600,6866124676,3115895.35,17065.31201,2457170.695,64677754.32
1625443200,7179072237,3085583.236,17109.72132,2459490.087,64220614.5
1625356800,6879163875,3084093.859,17238.00185,2451479.798,64094474.73
1625270400,6705196422,3104401.325,17344.02073,2449367.553,64229741.28
1625184000,6579444500,3112040.309,17361.39103,2440936.596,63842603.88
1625097600,7008353538,3074014.544,17344.36858,2438109.274,63481345.27
1625011200,6778240472,3134533.431,17425.46834,2444204.166,65576305.22
1624924800,6559299789,3143549.902,17433.69892,2447493.438,63596370.63
1624838400,6206112199,3129942.304,17461.55002,2428582.155,66008306.34
1624752000,5774206458,3153133.066,17336.69491,2428972.873,66051744.55
1624665600,5778926192,3182017.814,17570.36902,2407701.996,66012596.1
1624579200,6235276225,3130944.627,17379.88453,2418596.206,65921625.25
1624492800,5917636973,2999461.186,17440.01727,2292658.214,68203484.08
1624406400,5662455665,3014092.845,17021.01692,2299182.85,68664875.24
