f0_,count
2019. 5. 7.,82
2019. 5. 8.,82
2019. 5. 9.,30
2019. 5. 10.,10
2019. 5. 11.,3
2019. 5. 12.,1
2019. 5. 13.,15
2019. 5. 14.,73
2019. 5. 15.,23
2019. 5. 16.,23
2019. 5. 17.,30
2019. 5. 18.,13
2019. 5. 19.,14
2019. 5. 20.,16
2019. 5. 21.,21
2019. 5. 22.,38
2019. 5. 23.,648
2019. 5. 24.,678
2019. 5. 25.,470
2019. 5. 26.,454
2019. 5. 27.,382
2019. 5. 28.,408
2019. 5. 29.,375
2019. 5. 30.,537
2019. 5. 31.,489
2019. 6. 1.,280
2019. 6. 2.,302
2019. 6. 3.,367
2019. 6. 4.,528
2019. 6. 5.,354
2019. 6. 6.,385
2019. 6. 7.,387
2019. 6. 8.,188
2019. 6. 9.,335
2019. 6. 10.,353
2019. 6. 11.,410
2019. 6. 12.,472
2019. 6. 13.,436
2019. 6. 14.,349
2019. 6. 15.,367
2019. 6. 16.,385
2019. 6. 17.,362
2019. 6. 18.,316
2019. 6. 19.,299
2019. 6. 20.,265
2019. 6. 21.,582
2019. 6. 22.,542
2019. 6. 23.,382
2019. 6. 24.,430
2019. 6. 25.,470
2019. 6. 26.,814
2019. 6. 27.,721
2019. 6. 28.,440
2019. 6. 29.,403
2019. 6. 30.,403
2019. 7. 1.,467
2019. 7. 2.,460
2019. 7. 3.,482
2019. 7. 4.,392
2019. 7. 5.,327
2019. 7. 6.,284
2019. 7. 7.,315
2019. 7. 8.,319
2019. 7. 9.,438
2019. 7. 10.,482
2019. 7. 11.,517
2019. 7. 12.,411
2019. 7. 13.,463
2019. 7. 14.,790
2019. 7. 15.,1277
2019. 7. 16.,899
2019. 7. 17.,984
2019. 7. 18.,733
2019. 7. 19.,675
2019. 7. 20.,757
2019. 7. 21.,585
2019. 7. 22.,536
2019. 7. 23.,806
2019. 7. 24.,786
2019. 7. 25.,747
2019. 7. 26.,853
2019. 7. 27.,961
2019. 7. 28.,990
2019. 7. 29.,965
2019. 7. 30.,1020
2019. 7. 31.,1104
2019. 8. 1.,1146
2019. 8. 2.,1146
2019. 8. 3.,982
2019. 8. 4.,939
2019. 8. 5.,1157
2019. 8. 6.,1266
2019. 8. 7.,1172
2019. 8. 8.,1149
2019. 8. 9.,1050
2019. 8. 10.,955
2019. 8. 11.,862
2019. 8. 12.,842
2019. 8. 13.,1083
2019. 8. 14.,1469
2019. 8. 15.,1510
2019. 8. 16.,935
2019. 8. 17.,845
2019. 8. 18.,910
2019. 8. 19.,762
2019. 8. 20.,862
2019. 8. 21.,1078
2019. 8. 22.,917
2019. 8. 23.,729
2019. 8. 24.,752
2019. 8. 25.,610
2019. 8. 26.,838
2019. 8. 27.,810
2019. 8. 28.,1039
2019. 8. 29.,1116
2019. 8. 30.,742
