f0_,Record Count,count
2015. 8. 7.,1,2050
2015. 8. 8.,1,2881
2015. 8. 9.,1,1329
2015. 8. 10.,1,2037
2015. 8. 11.,1,4963
2015. 8. 12.,1,2036
2015. 8. 13.,1,2842
2015. 8. 14.,1,3174
2015. 8. 15.,1,2284
2015. 8. 16.,1,2440
2015. 8. 17.,1,2512
2015. 8. 18.,1,2494
2015. 8. 19.,1,3246
2015. 8. 20.,1,2303
2015. 8. 21.,1,3919
2015. 8. 22.,1,3579
2015. 8. 23.,1,4190
2015. 8. 24.,1,4432
2015. 8. 25.,1,4487
2015. 8. 26.,1,4156
2015. 8. 27.,1,5590
2015. 8. 28.,1,4758
2015. 8. 29.,1,4139
2015. 8. 30.,1,4572
2015. 8. 31.,1,5196
2015. 9. 1.,1,5153
2015. 9. 2.,1,5195
2015. 9. 3.,1,4777
2015. 9. 4.,1,5642
2015. 9. 5.,1,5519
2015. 9. 6.,1,5521
2015. 9. 7.,1,5702
2015. 9. 8.,1,5622
2015. 9. 9.,1,5604
2015. 9. 10.,1,5341
2015. 9. 11.,1,6460
2015. 9. 12.,1,5596
2015. 9. 13.,1,6057
2015. 9. 14.,1,5572
2015. 9. 15.,1,5409
2015. 9. 16.,1,5872
2015. 9. 17.,1,5368
2015. 9. 18.,1,5802
2015. 9. 19.,1,5205
2015. 9. 20.,1,6402
2015. 9. 21.,1,6305
2015. 9. 22.,1,6804
2015. 9. 23.,1,7404
2015. 9. 24.,1,6224
2015. 9. 25.,1,5851
2015. 9. 26.,1,5907
2015. 9. 27.,1,5760
2015. 9. 28.,1,6123
2015. 9. 29.,1,5738
2015. 9. 30.,1,5870
2015. 10. 1.,1,6421
2015. 10. 2.,1,6063
2015. 10. 3.,1,6112
2015. 10. 4.,1,6624
2015. 10. 5.,1,6279
2015. 10. 6.,1,6458
2015. 10. 7.,1,7121
2015. 10. 8.,1,6926
2015. 10. 9.,1,6763
2015. 10. 10.,1,6529
2015. 10. 11.,1,6023
2015. 10. 12.,1,6593
2015. 10. 13.,1,6818
2015. 10. 14.,1,6830
2015. 10. 15.,1,6499
2015. 10. 16.,1,6795
2015. 10. 17.,1,6567
2015. 10. 18.,1,6481
2015. 10. 19.,1,6604
2015. 10. 20.,1,5897
2015. 10. 21.,1,6182
2015. 10. 22.,1,5979
2015. 10. 23.,1,6888
2015. 10. 24.,1,6361
2015. 10. 25.,1,5830
2015. 10. 26.,1,5938
2015. 10. 27.,1,6784
2015. 10. 28.,1,7346
2015. 10. 29.,1,7836
2015. 10. 30.,1,7941
2015. 10. 31.,1,7557
2015. 11. 1.,1,6915
2015. 11. 2.,1,6558
2015. 11. 3.,1,7399
2015. 11. 4.,1,7037
2015. 11. 5.,1,7498
2015. 11. 6.,1,7882
2015. 11. 7.,1,10996
2015. 11. 8.,1,12413
2015. 11. 9.,1,7689
2015. 11. 10.,1,8151
2015. 11. 11.,1,10217
2015. 11. 12.,1,9534
